Dataset,Dissimilarity,AUROC
AccelerometerData,Autocorrelation,66
AccelerometerData,Chebyshev,61.72222222
AccelerometerData,Cosine,85.77777778
AccelerometerData,DTW,77.88888889
AccelerometerData,EDR,78.16666667
AccelerometerData,Euclidean,84
AccelerometerData,Gaussian Kernel,83.72222222
AccelerometerData,Kullback Leibler,70.83333333
AccelerometerData,Manhattan,83.33333333
AccelerometerData,MSM,78.88888889
AccelerometerData,Sigmoid Kernel,86.16666667
AccelerometerData,Wasserstein,70.44444444
Adiac,Autocorrelation,89.43413314
Adiac,Chebyshev,90.64322985
Adiac,Cosine,87.23306055
Adiac,DTW,91.1547513
Adiac,EDR,80.04673535
Adiac,Euclidean,88.88336416
Adiac,Gaussian Kernel,87.47699618
Adiac,Kullback Leibler,88.33467849
Adiac,Manhattan,88.21130475
Adiac,MSM,92.23373876
Adiac,Sigmoid Kernel,86.98873874
Adiac,Wasserstein,94.59280887
ArrowHead,Autocorrelation,69.14421179
ArrowHead,Chebyshev,76.75249652
ArrowHead,Cosine,73.2748483
ArrowHead,DTW,70.09209077
ArrowHead,EDR,76.12845938
ArrowHead,Euclidean,73.70967573
ArrowHead,Gaussian Kernel,72.18471649
ArrowHead,Kullback Leibler,73.56846888
ArrowHead,Manhattan,74.06142274
ArrowHead,MSM,79.09780031
ArrowHead,Sigmoid Kernel,73.51900913
ArrowHead,Wasserstein,72.05830274
Beef,Autocorrelation,74.02777778
Beef,Chebyshev,78.61111111
Beef,Cosine,72.63888889
Beef,DTW,76.66666667
Beef,EDR,76.04166667
Beef,Euclidean,76.11111111
Beef,Gaussian Kernel,72.63888889
Beef,Kullback Leibler,74.44444444
Beef,Manhattan,76.52777778
Beef,MSM,76.52777778
Beef,Sigmoid Kernel,72.63888889
Beef,Wasserstein,70.55555556
BeetleFly,Autocorrelation,61.5
BeetleFly,Chebyshev,70
BeetleFly,Cosine,68.5
BeetleFly,DTW,67
BeetleFly,EDR,79.5
BeetleFly,Euclidean,68.5
BeetleFly,Gaussian Kernel,67.5
BeetleFly,Kullback Leibler,51.5
BeetleFly,Manhattan,71
BeetleFly,MSM,71.5
BeetleFly,Sigmoid Kernel,69.5
BeetleFly,Wasserstein,65.5
BirdChicken,Autocorrelation,65.5
BirdChicken,Chebyshev,66
BirdChicken,Cosine,55.5
BirdChicken,DTW,66.5
BirdChicken,EDR,72.5
BirdChicken,Euclidean,54
BirdChicken,Gaussian Kernel,54.5
BirdChicken,Kullback Leibler,64
BirdChicken,Manhattan,54.5
BirdChicken,MSM,73.5
BirdChicken,Sigmoid Kernel,57.5
BirdChicken,Wasserstein,62.5
Car,Autocorrelation,62.84150495
Car,Chebyshev,70.86951331
Car,Cosine,66.26245364
Car,DTW,65.78785456
Car,EDR,77.44084937
