Dataset,PrototypeMethod,Dissimilarity,AUROC
AccelerotmeterData,Borders,Autocorrelation,62.38888889
AccelerotmeterData,Borders,Chebyshev,58.05555556
AccelerotmeterData,Borders,Cosine,69.83333333
AccelerotmeterData,Borders,DTW,62
AccelerotmeterData,Borders,EDR,64.22222222
AccelerotmeterData,Borders,Euclidean,68.77777778
AccelerotmeterData,Borders,Gaussian Kernel,66.66666667
AccelerotmeterData,Borders,Kullback Leibler,69.33333333
AccelerotmeterData,Borders,Manhattan,75.27777778
AccelerotmeterData,Borders,MSM,66.72222222
AccelerotmeterData,Borders,Sigmoid Kernel,70.44444444
AccelerotmeterData,Borders,Wasserstein,67
AccelerotmeterData,Centers Gaussian-mixture,Autocorrelation,65.94444444
AccelerotmeterData,Centers Gaussian-mixture,Chebyshev,58.16666667
AccelerotmeterData,Centers Gaussian-mixture,Cosine,79.22222222
AccelerotmeterData,Centers Gaussian-mixture,DTW,66.83333333
AccelerotmeterData,Centers Gaussian-mixture,EDR,67.88888889
AccelerotmeterData,Centers Gaussian-mixture,Euclidean,81
AccelerotmeterData,Centers Gaussian-mixture,Gaussian Kernel,71.88888889
AccelerotmeterData,Centers Gaussian-mixture,Kullback Leibler,70.05555556
AccelerotmeterData,Centers Gaussian-mixture,Manhattan,73.38888889
AccelerotmeterData,Centers Gaussian-mixture,MSM,67.61111111
AccelerotmeterData,Centers Gaussian-mixture,Sigmoid Kernel,78.33333333
AccelerotmeterData,Centers Gaussian-mixture,Wasserstein,71.5
AccelerotmeterData,Centers k-means,Autocorrelation,60.38888889
AccelerotmeterData,Centers k-means,Chebyshev,62.5
AccelerotmeterData,Centers k-means,Cosine,81.94444444
AccelerotmeterData,Centers k-means,DTW,62.33333333
AccelerotmeterData,Centers k-means,EDR,67.58333333
AccelerotmeterData,Centers k-means,Euclidean,82.94444444
AccelerotmeterData,Centers k-means,Gaussian Kernel,79.05555556
AccelerotmeterData,Centers k-means,Kullback Leibler,70.77777778
AccelerotmeterData,Centers k-means,Manhattan,81.44444444
AccelerotmeterData,Centers k-means,MSM,70.94444444
AccelerotmeterData,Centers k-means,Sigmoid Kernel,82.27777778
AccelerotmeterData,Centers k-means,Wasserstein,68.88888889
AccelerotmeterData,Closest,Autocorrelation,52.22222222
AccelerotmeterData,Closest,Chebyshev,53.61111111
AccelerotmeterData,Closest,Cosine,64.11111111
AccelerotmeterData,Closest,DTW,50.83333333
AccelerotmeterData,Closest,EDR,63
AccelerotmeterData,Closest,Euclidean,59.88888889
AccelerotmeterData,Closest,Gaussian Kernel,50.11111111
AccelerotmeterData,Closest,Kullback Leibler,70.38888889
AccelerotmeterData,Closest,Manhattan,66.16666667
AccelerotmeterData,Closest,MSM,58.05555556
AccelerotmeterData,Closest,Sigmoid Kernel,66.72222222
AccelerotmeterData,Closest,Wasserstein,64.83333333
AccelerotmeterData,Furthest,Autocorrelation,64.61111111
AccelerotmeterData,Furthest,Chebyshev,61.05555556
AccelerotmeterData,Furthest,Cosine,68.77777778
AccelerotmeterData,Furthest,DTW,58.22222222
AccelerotmeterData,Furthest,EDR,69.11111111
AccelerotmeterData,Furthest,Euclidean,68.77777778
AccelerotmeterData,Furthest,Gaussian Kernel,67.5
AccelerotmeterData,Furthest,Kullback Leibler,66.61111111
AccelerotmeterData,Furthest,Manhattan,76.05555556
AccelerotmeterData,Furthest,MSM,66.94444444
AccelerotmeterData,Furthest,Sigmoid Kernel,69.16666667
AccelerotmeterData,Furthest,Wasserstein,65.22222222
AccelerotmeterData,Percentiles,Autocorrelation,67.44444444
AccelerotmeterData,Percentiles,Chebyshev,63.38888889
AccelerotmeterData,Percentiles,Cosine,73.55555556
AccelerotmeterData,Percentiles,DTW,69.44444444
AccelerotmeterData,Percentiles,EDR,73.58333333
AccelerotmeterData,Percentiles,Euclidean,70.22222222
AccelerotmeterData,Percentiles,Gaussian Kernel,69.27777778
AccelerotmeterData,Percentiles,Kullback Leibler,70.22222222
AccelerotmeterData,Percentiles,Manhattan,81.33333333
AccelerotmeterData,Percentiles,MSM,71.83333333
AccelerotmeterData,Percentiles,Sigmoid Kernel,71.61111111
AccelerotmeterData,Percentiles,Wasserstein,65
AccelerotmeterData,Random,Autocorrelation,63.22222222
AccelerotmeterData,Random,Chebyshev,48.94444444
AccelerotmeterData,Random,Cosine,61.77777778
AccelerotmeterData,Random,DTW,57.16666667
AccelerotmeterData,Random,EDR,70.94444444
AccelerotmeterData,Random,Euclidean,64.22222222
AccelerotmeterData,Random,Gaussian Kernel,55.22222222
AccelerotmeterData,Random,Kullback Leibler,68.44444444
AccelerotmeterData,Random,Manhattan,62.16666667
AccelerotmeterData,Random,MSM,62.5
AccelerotmeterData,Random,Sigmoid Kernel,71.88888889
AccelerotmeterData,Random,Wasserstein,64.72222222
AccelerotmeterData,Support Vectors,Autocorrelation,62.38888889
AccelerotmeterData,Support Vectors,Chebyshev,59.05555556
AccelerotmeterData,Support Vectors,Cosine,75.05555556
AccelerotmeterData,Support Vectors,DTW,61.05555556
AccelerotmeterData,Support Vectors,EDR,70.88888889
AccelerotmeterData,Support Vectors,Euclidean,72.44444444
AccelerotmeterData,Support Vectors,Gaussian Kernel,66.27777778
AccelerotmeterData,Support Vectors,Kullback Leibler,69.55555556
AccelerotmeterData,Support Vectors,Manhattan,73.27777778
AccelerotmeterData,Support Vectors,MSM,58.88888889
AccelerotmeterData,Support Vectors,Sigmoid Kernel,76.38888889
AccelerotmeterData,Support Vectors,Wasserstein,67.61111111
Adiac,Borders,Autocorrelation,87.1035224
Adiac,Borders,Chebyshev,85.72184157
Adiac,Borders,Cosine,84.35017756
Adiac,Borders,DTW,83.72411118
Adiac,Borders,EDR,75.43961498
Adiac,Borders,Euclidean,84.57690559
Adiac,Borders,Gaussian Kernel,84.71612325
Adiac,Borders,Kullback Leibler,83.63681344
Adiac,Borders,Manhattan,83.01780856
Adiac,Borders,MSM,88.46174737
Adiac,Borders,Sigmoid Kernel,84.17707321
Adiac,Borders,Wasserstein,92.40719623
Adiac,Centers Gaussian-mixture,Autocorrelation,87.09973623
Adiac,Centers Gaussian-mixture,Chebyshev,88.28547087
Adiac,Centers Gaussian-mixture,Cosine,86.29333117
Adiac,Centers Gaussian-mixture,DTW,82.60188001
Adiac,Centers Gaussian-mixture,EDR,74.25676407
Adiac,Centers Gaussian-mixture,Euclidean,86.73332893
Adiac,Centers Gaussian-mixture,Gaussian Kernel,86.43769879
Adiac,Centers Gaussian-mixture,Kullback Leibler,84.80325223
Adiac,Centers Gaussian-mixture,Manhattan,86.31846868
Adiac,Centers Gaussian-mixture,MSM,88.74946706
Adiac,Centers Gaussian-mixture,Sigmoid Kernel,85.75057343
Adiac,Centers Gaussian-mixture,Wasserstein,92.60409571
Adiac,Centers k-means,Autocorrelation,86.69799085
Adiac,Centers k-means,Chebyshev,87.2757415
Adiac,Centers k-means,Cosine,85.86838131
Adiac,Centers k-means,DTW,85.04966823
Adiac,Centers k-means,EDR,72.67443809
Adiac,Centers k-means,Euclidean,87.1725486
Adiac,Centers k-means,Gaussian Kernel,86.40159395
Adiac,Centers k-means,Kullback Leibler,85.0786626
Adiac,Centers k-means,Manhattan,86.46435858
Adiac,Centers k-means,MSM,90.39961371
Adiac,Centers k-means,Sigmoid Kernel,85.90788659
Adiac,Centers k-means,Wasserstein,92.88947353
Adiac,Closest,Autocorrelation,83.56941493
Adiac,Closest,Chebyshev,81.21056674
Adiac,Closest,Cosine,82.21054729
Adiac,Closest,DTW,82.08763527
Adiac,Closest,EDR,73.15819421
Adiac,Closest,Euclidean,77.3690562
Adiac,Closest,Gaussian Kernel,82.34173192
Adiac,Closest,Kullback Leibler,85.84799832
