Dataset,Autocorrelation,Chebyshev,Cosine,DTW,EDR,Euclidean,Gaussian Kernel,Kullback Leibler,Manhattan,MSM,Sigmoid Kernel,Wasserstein,Type,Length,TRS,TES,Nclasses,AvgTRS,AvgTES
AccelerometerData,70.16666667,60.61111111,81.55555556,77.16666667,69.83333333,81.55555556,81.55555556,75.66666667,82.72222222,77.38888889,81.55555556,68.94444444,SENSOR,1440,162,1440,9,18,160
Adiac,91.26992102,90.30610032,89.71628516,91.30504984,64.91488704,89.71628516,89.71628516,89.71164542,89.3944856,91.38304476,89.71705887,95.05364703,IMAGE,176,390,176,37,11,5
ArrowHead,73.45699766,76.06297377,76.79403674,74.41966974,78.95274576,76.79403674,76.79403674,74.54503751,77.03408838,79.41017377,76.79403674,76.53934142,IMAGE,251,36,251,3,12,84
Beef,74.16666667,80.69444444,81.80555556,78.19444444,81.45833333,81.80555556,81.80555556,74.86111111,80,78.75,81.80555556,76.25,SPECTRO,470,30,470,5,6,94
BeetleFly,63.5,65,70.5,69.5,88.25,70.5,70.5,66.5,72.5,79.5,70.5,67,IMAGE,512,20,512,2,10,256
BirdChicken,63,65,57.5,72.5,74.75,57.5,57.5,70.5,58.5,77,57.5,68.5,IMAGE,512,20,512,2,10,256
Car,65.68120836,73.41869114,76.78007476,71.82835411,81.01389617,76.78007476,76.78007476,70.77785582,76.59887478,84.60193901,76.78007476,69.84771106,SENSOR,577,60,577,4,15,144
CBF,73.48608919,61.38243117,93.65477645,99.61531935,99.66155517,93.65477645,93.65477645,82.92366011,96.06739365,99.64572474,93.65477645,82.89697237,SIMULATED,128,30,128,3,10,43
ChlorineConcentration,56.57807939,69.22451504,67.47253319,65.22097285,67.10624754,67.47252068,67.47252068,56.01953385,65.27098721,65.30279306,67.47270008,61.39583335,SIMULATED,166,467,166,3,156,55
CinCECGTorso,79.69009931,87.66458346,97.91526114,80.84232201,84.32912886,97.91526114,97.91526114,76.40093745,97.31546591,83.87653069,97.91533049,78.72188286,ECG,1639,40,1639,4,10,410
Coffee,91.53846154,96.15384615,96.15384615,95.8974359,95.76923077,96.15384615,96.15384615,74.35897436,95.38461538,94.87179487,96.15384615,82.05128205,SPECTRO,286,28,286,2,14,143
Computers,52.5216,49.5296,52.0064,55.3952,52.4048,52.0064,52.0064,54.4128,50.6304,52.0832,52.0064,62.3136,DEVICE,720,250,720,2,125,360
CricketX,80.88353946,65.15701201,83.29628451,90.37487322,83.25612906,83.29628451,83.29628451,79.16507784,85.06886492,88.98255456,83.29628451,84.78536143,MOTION,300,390,300,12,33,25
CricketY,84.18074351,72.41310813,86.90358645,90.96452039,87.09814889,86.90358645,86.90358645,79.17094091,88.60683223,90.19541647,86.90358645,85.03792067,MOTION,300,390,300,12,33,25
CricketZ,82.91110877,66.49832429,82.41805147,90.31372056,84.19090701,82.41877889,82.41877889,79.62578583,84.1162654,89.06541405,82.41805147,85.93896373,MOTION,300,390,300,12,33,25
DiatomSizeReduction,94.67241758,95.40168868,95.22608202,95.11088309,88.56114887,95.22608202,95.22608202,97.31358241,94.8989577,95.51116441,95.22608202,96.55949034,IMAGE,345,16,345,4,4,86
DistalPhalanxOutlineAgeGroup,69.52568952,61.40443609,61.70082098,65.95285527,64.17365627,61.70082098,61.70082098,69.44168158,62.31605012,64.04355343,61.70082098,64.94803379,IMAGE,80,139,80,3,46,27
DistalPhalanxOutlineCorrect,60.17823386,57.37780178,57.86929517,58.25276803,58.00837159,57.86929517,57.86929517,60.20118823,57.8963003,58.0826357,57.87064542,58.98730759,IMAGE,80,276,80,2,138,40
DistalPhalanxTW,80.50044832,77.08471429,79.17205559,81.86120589,78.73773874,79.17205559,79.17205559,81.18540459,79.26875516,80.77344342,79.17205559,79.48563818,IMAGE,80,139,80,6,23,13
Earthquakes,49.67032967,49.2032967,50.46703297,57.08791209,49.93818681,50.46703297,50.46703297,51.59340659,49.79395604,56.01648352,50.46703297,56.0989011,SENSOR,512,139,512,2,70,256
ECG200,68.53298611,80.38194444,82.24826389,69.7265625,71.32161458,82.24826389,82.24826389,61.50173611,81.96614583,74.91319444,82.24826389,70.33420139,ECG,96,100,96,2,50,48
ECG5000,71.97931254,75.91372077,77.69386386,79.79515499,80.27476081,77.69386818,77.69386818,75.2666778,78.79381754,80.21090799,77.69389876,77.71358486,ECG,140,500,140,5,100,28
ECGFiveDays,96.94400078,69.36702748,82.62205651,78.15096803,83.56877684,82.62178671,82.62178671,68.1001921,83.59548682,78.95118819,82.62205651,88.47262092,ECG,136,23,136,2,12,68
ElectricDevices,71.92211086,59.34106089,75.27208546,73.57181438,61.89975272,75.27219435,75.27055932,67.06475809,68.54064656,73.61272011,75.27192088,72.03252294,DEVICE,96,8926,96,7,1275,14
FaceAll,88.11849576,83.61719978,91.50568588,93.80999203,95.63748518,91.50556997,91.50556997,80.77928951,93.06579759,94.97506839,91.50565648,83.18172152,IMAGE,131,560,131,14,40,9
FaceFour,73.7972806,75.76901877,89.15347799,90.86376112,97.82132884,89.15347799,89.15347799,84.21006073,91.52899754,95.91775527,89.15347799,86.90922677,IMAGE,350,24,350,4,6,88
FacesUCR,86.66698013,81.89480894,88.51491728,95.77830065,95.71742598,88.51502817,88.51502817,83.79017786,89.71783099,96.07290748,88.51486874,87.44074289,IMAGE,131,200,131,14,14,9
FiftyWords,85.45064749,81.64436727,88.73237568,94.56365118,92.70760644,88.73237568,88.73237568,78.5201081,90.35166067,95.2646615,88.73237568,79.04826598,IMAGE,270,450,270,50,9,5
Fish,77.49138587,86.13917935,85.56518137,87.43867231,90.14442456,85.56518137,85.56518137,83.53956351,84.66822966,92.22841124,85.56518137,86.541282,IMAGE,463,175,463,7,25,66
FordA,79.26091383,56.1277602,57.38741472,52.12324691,52.40165089,57.38741472,57.38741472,50.10180187,57.80369934,52.39245885,57.38741472,51.64422659,SENSOR,500,1320,500,2,660,250
FordB,68.4880098,54.3189703,55.36373004,57.40172795,54.77351853,55.36373004,55.36388247,49.57593791,55.74450183,54.94180197,55.3640349,52.60656427,SENSOR,500,810,500,2,405,250
GunPoint,81.16998578,78.68954481,84.5928165,87.64224751,90.64278094,84.5928165,84.5928165,91.45625889,88.90469417,96.72830725,84.5928165,91.17176387,MOTION,150,50,150,2,25,75
Ham,51.63398693,51.25272331,52.2875817,52.08787219,53.07734205,52.2875817,52.2875817,46.62309368,51.72476398,54.01234568,52.2875817,49.21931736,SPECTRO,431,109,431,2,55,216
HandOutlines,65.04235272,73.30351194,74.43133149,70.06281527,58.75448114,74.43133149,74.42974525,60.84197836,74.41071032,70.80359126,74.42974525,67.3550966,IMAGE,2709,370,2709,2,185,1355
Haptics,62.29807917,60.63759911,61.20905551,59.90492238,61.38081554,61.20905551,61.20905551,54.92146591,60.76326997,62.04949042,61.20905551,59.5758655,MOTION,1092,155,1092,5,31,218
Herring,51.56882591,49.72165992,51.97368421,53.08704453,55.99696356,51.97368421,51.97368421,47.62145749,52.63157895,55.06072874,51.97368421,54.20040486,IMAGE,512,64,512,2,32,256
InlineSkate,62.27806577,59.82392307,62.05055509,67.03957719,69.16598141,62.05055509,62.05055509,67.30504417,63.54448524,70.01542974,62.05055509,69.62338712,MOTION,1882,100,1882,7,14,269
InsectWingbeatSound,87.82828283,90.29588945,91.18748597,78.30140292,83.94851291,91.18751403,91.18751403,55.89682941,91.07519641,85.12168911,91.18751403,59.28465208,SENSOR,256,220,256,11,20,23
ItalyPowerDemand,75.80390468,88.5287751,88.680735,81.64090243,83.06464104,88.680735,88.680735,64.21434184,87.43370053,85.52348248,88.68045167,66.18160388,SENSOR,24,67,24,2,34,12
LargeKitchenAppliances,74.51306667,50.2624,57.9968,73.52746667,56.37653333,57.9968,57.9968,61.5232,59.73546667,64.57706667,57.9968,70.49493333,DEVICE,720,375,720,3,125,240
Lightning2,67.0995671,52.5974026,63.31168831,73.75541126,64.01515152,63.31168831,63.31168831,70.02164502,69.80519481,71.37445887,63.31168831,76.51515152,SENSOR,637,60,637,2,30,319
Lightning7,80.67358582,57.49913258,74.24901946,87.12789991,85.11937411,74.24901946,74.24901946,81.8322253,87.55299357,88.4338179,74.24901946,84.72064352,SENSOR,319,70,319,7,10,46
Mallat,96.17347036,95.65184645,98.52624689,99.16905667,97.23630918,98.52624689,98.52624689,93.93879815,98.62826684,98.28625725,98.52625725,94.96037408,SIMULATED,1024,55,1024,8,7,128
Meat,94.875,98.25,98.16666667,97.16666667,50,98.16666667,98.16666667,91.5625,97.625,97.625,98.16666667,96.875,SPECTRO,448,60,448,3,20,149
